,name,price,adress,image_link
0,Fauteuil pliable,50000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5641122_uploaded_image2_1764104086.jpeg
1,Agneau pur sang ,Prixsurdemande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5631456_uploaded_image1_1763631774.jpg
2,Mouton,125000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630109_uploaded_image1_1763563794.jpg
3,Mouton Ladoum ,800000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630102_uploaded_image1_1763563551.jpg
4,Moutons Ladoum,350000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5613540_uploaded_image1_1762738491.jpg
5,Mouton Ladoum ,1000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5594186_uploaded_image1_1761667729.jpg
6,Mouton ladoum,1000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5590609_uploaded_image1_1761399893.jpg
7,Mouton Ladoum ,1000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5571703_uploaded_image1_1760360461.jpg
8,Mâles ladoum,300000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5570235_uploaded_image1_1760269024.jpg
9,Mouton,200000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5561288_uploaded_image1_1759765735.jpg
10,Mouton Ladoum ,250000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5546272_uploaded_image1_1758985252.jpg
11,Mouton,200000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5543556_uploaded_image1_1758817920.jpg
12,Mouton,550,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5521645_uploaded_image1_1757668518.jpg
13,Mouton,700000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5514422_uploaded_image1_1757326730.jpg
14,Mouton Ladoum ,800000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5513111_uploaded_image1_1757248013.jpg
15,Mouton Ladoum ,800000,"Malikounda, Sénégal",https://images.coinafrique.com/thumb_5454220_uploaded_image1_1754077895.jpg
16,Mouton  ladoum,550,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5430741_uploaded_image1_1752926224.jpg
17,Mouton  ladoum,100000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5416626_uploaded_image1_1752150844.jpg
18,Mouton ,550000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5401936_uploaded_image1_1751443255.jpg
19,Ladoum Azowate,125000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5390051_uploaded_image1_1750779449.jpg
20,Mouton Ladoum,450000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5362962_uploaded_image1_1749209010.jpg
21,Mouton,130000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5362037_uploaded_image1_1749137690.jpg
22,Mouton Ladoum ,500,"Thies, Sénégal",https://images.coinafrique.com/thumb_5355058_uploaded_image1_1748800702.jpg
23,Mouton de tabaski,200000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5351264_uploaded_image1_1748542637.jpg
24,Mouton,225000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349513_uploaded_image1_1748440101.jpg
25,Moutons,195000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349203_uploaded_image1_1748427888.jpg
26,Mouton ,180000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5347115_uploaded_image1_1748302103.jpg
27,Mouton ,250000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344905_uploaded_image1_1748196909.jpg
28,Mouton ladoum,600000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344681_uploaded_image1_1748183751.jpg
29,Mouton de tabaski,100000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5344147_uploaded_image1_1748126098.jpg
30,Moutons,225000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342599_uploaded_image1_1748032725.jpg
31,Mouton,600,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342588_uploaded_image1_1748032353.jpg
32,Mouton,350000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5337516_uploaded_image1_1747772137.jpg
33,Mouton,275000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334872_uploaded_image1_1747644353.jpg
34,Mouton ,190000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334867_uploaded_image1_1747644110.jpg
35,Mouton Ladoum,800000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334036_uploaded_image1_1747578346.jpg
36,Mouton de race,350000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5333365_uploaded_image1_1747518081.jpg
37,Mouton de race,350000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5333364_uploaded_image1_1747517896.jpg
38,Mouton,165000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5331651_uploaded_image1_1747411805.jpg
39,Mouton Ladoum,850000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5328631_uploaded_image1_1747268349.jpg
40,Mouton Ladoum ,550000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5321660_uploaded_image1_1746897337.jpg
41,Mouton de tabaski,325000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5316393_uploaded_image1_1746633254.jpg
42,Mouton de tabaski,325000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5316327_uploaded_image1_1746631366.jpg
43,Mouton de tabaski,350000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5316323_uploaded_image1_1746631293.jpg
44,Mouton Ladoum ,Prixsurdemande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5311454_uploaded_image1_1746381105.jpg
45,Mouton Ladoum ,600000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5311435_uploaded_image1_1746380521.jpg
46,Mouton ,375000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5302025_uploaded_image1_1745854211.jpg
47,Mouton ,375000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5302020_uploaded_image1_1745854071.jpg
48,Mouton Toubaberr,105000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5271542_uploaded_image1_1744106341.jpg
49,Mouton de tabaski,400,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5289057_uploaded_image1_1745062997.jpg
50,Mouton de tabaski,350,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5289055_uploaded_image1_1745062842.jpg
51,Mouton,80000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5288288_uploaded_image1_1744995144.jpg
52,Mouton,150000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5288284_uploaded_image1_1744994723.jpg
53,Mouton,350000,"Bambey, Sénégal",https://images.coinafrique.com/thumb_5242287_uploaded_image2_1742488655.jpeg
54,Mouton,350000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5234191_uploaded_image1_1742083080.jpg
55,Mouton de race,350000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5228921_uploaded_image1_1741801692.jpg
56,Mouton,350000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5228913_uploaded_image1_1741801582.jpg
57,Mouton ,300000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5200965_uploaded_image1_1740410729.jpg
58,Mouton ,350000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196558_uploaded_image1_1740141766.jpg
59,Mouton,325000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196554_uploaded_image1_1740141524.jpg
60,Mouton Ladoum ,300000,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_5187810_uploaded_image1_1739676570.jpg
61,Mouton Ladoum ,300000,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_5187800_uploaded_image1_1739674108.jpg
62,Mouton Ladoum ,300000,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_5187761_uploaded_image1_1739669832.jpg
63,Mouton Ladoum ,300000,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_5187749_uploaded_image1_1739669547.jpg
64,Ladoum,750000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179072_uploaded_image1_1739195002.jpg
65,Bélier,225000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179070_uploaded_image1_1739194872.jpg
66,Mouton,200000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5164450_uploaded_image1_1738427830.jpg
67,Mouton,180000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5159269_uploaded_image1_1738163617.jpg
