,name,price,adress,image_link
0,Poulettes pré ponte de 124 jours,5000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5655142_uploaded_image2_1764832679.jpeg
1,Poussin goliath,300,"Thies, Sénégal",https://images.coinafrique.com/thumb_5648409_uploaded_image1_1764510412.jpg
2,Poulet Goliath,Prixsurdemande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5648319_uploaded_image1_1764504900.jpg
3,Pigeon Voyageur,20000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5642510_uploaded_image1_1764173213.jpg
4,Poule Brahman ,Prixsurdemande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5594420_uploaded_image1_1761683034.jpg
5,Femmel cailloute,30000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5587969_uploaded_image1_1761236540.jpg
6,Poule Brahman ,Prixsurdemande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5577027_uploaded_image1_1760621886.jpg
7,Lapin,Prixsurdemande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5572908_uploaded_image1_1760428902.jpg
8,Pigeons mondain,Prixsurdemande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5572903_uploaded_image1_1760428699.jpg
9,Couple  Mondain,130000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5541428_uploaded_image1_1758715216.jpg
10,Pigeon ,15000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5521622_uploaded_image1_1757666321.jpg
11,Lapin,40000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5514578_uploaded_image2_1757331557.jpeg
12,Pigeon Mondain ,120000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5507608_uploaded_image1_1756942600.jpg
13,Pigeon Mondain,120000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5507606_uploaded_image1_1756942550.jpg
14,Pigeons,100000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5458528_uploaded_image1_1754315737.jpg
15,Cochin caillouté ,Prixsurdemande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497195_uploaded_image1_1756395052.jpg
16,Couples texans pionniers,40000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497183_uploaded_image1_1756394350.jpg
17,Couple Mondain,100000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497172_uploaded_image1_1756394052.jpg
18,Couple Manteau noir,15000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5497155_uploaded_image1_1756393487.jpg
19,Pigeon culbtant volga,30000,"Fatick, Sénégal",https://images.coinafrique.com/thumb_5497140_uploaded_image1_1756393034.jpg
20,Pigeon Lahore Levante,Prixsurdemande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5486667_uploaded_image1_1755797873.jpg
21,Pigeon Beauté Allemande,Prixsurdemande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5486666_uploaded_image1_1755797791.jpg
22,Lapin,35000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465434_uploaded_image1_1754648894.jpg
23,Lapin Métis Californien,25000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5437884_uploaded_image1_1753306013.jpg
24,Brahman herminé,Prixsurdemande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5435588_uploaded_image1_1753200754.jpg
25,Poussins frisés,15000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5430818_uploaded_image1_1752929676.jpg
26,Poussins brahma blanc herminé,25000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5414572_uploaded_image1_1752060211.jpg
27,Poussins brahmas importés,10000,"Diamalaye 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5404325_uploaded_image1_1751544553.jpg
28,Poussins frisés ,15000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5402124_uploaded_image1_1751450050.jpg
29,Poussins frisés ,15000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5402120_uploaded_image1_1751449791.jpg
30,Coqs colorés,8000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394586_uploaded_image1_1751020727.jpg
31,Poulet pondeuses,Prixsurdemande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5393356_uploaded_image1_1750945446.jpg
32,Lapins,Prixsurdemande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5384185_uploaded_image1_1750435313.jpg
33,Couple voyageur,15000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5381347_uploaded_image1_1750286641.jpg
34,Lapin Métis californien,15000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5364052_uploaded_image1_1749295289.jpg
35,Poulet Padovani,45000,"Louga, Sénégal",https://images.coinafrique.com/thumb_5353407_uploaded_image1_1748690625.jpg
36,Poussins Brahma,Prixsurdemande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5352324_uploaded_image1_1748613214.jpg
37,Lapins Métis Californien,10000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5350705_uploaded_image1_1748514803.jpg
